"psi.grid" "DD.PL.q" "DD.PL.psi"
"89" -0.00882968441903259 -1.88623379647369 -2.16896352279479
"90" -0.004452997064673 -1.9908617916122 -2.28214370907199
"91" -7.63097103134713e-05 -2.09831283303698 -2.39820218548779
"92" 0.00430037764404612 -2.20858691899055 -2.51713895212618
"93" 0.00867706499840565 -2.32168404771543 -2.63895400907111
"94" 0.0130537523527652 -2.43760421745413 -2.76364735640656
"95" 0.0174304397071248 -2.55634742644917 -2.89121899421649
"96" 0.0218071270614844 -2.67791367294308 -3.02166892258489
"97" 0.0261838144158439 -2.80230295517838 -3.15499714159532
"98" 0.0305605017702034 -2.92951527139757 -3.2912036513021
"99" 0.034937189124563 -3.05955061984319 -3.43028845171075
"100" 0.0393138764789225 -3.19240899875774 -3.57225154282223
