"psi.grid" "DD.PL.q" "DD.PL.B" "DD.PL.ana"
"83" 4.2224114381725 -0.891393373445287 -1.54755834979874 -0.981455455764561
"84" 4.22685442350732 -0.949422000631815 -1.64166277597718 -1.04010309149142
"85" 4.23129740884213 -1.00928028220261 -1.73854419221281 -1.10036561384112
"86" 4.23574039417695 -1.0709682205269 -1.8382025988036 -1.16223602581131
"87" 4.24018337951176 -1.13448581746432 -1.94063799604758 -1.22570736534351
"88" 4.24462636484658 -1.19983307353718 -2.04585038421639 -1.29077270509379
"89" 4.24906935018139 -1.26700998905118 -2.15383976341932 -1.3574251522159
"90" 4.2535123355162 -1.33601656431195 -2.2646061337037 -1.42565784813674
"91" 4.25795532085102 -1.40685279962517 -2.37814949511686 -1.49546396834158
"92" 4.26239830618583 -1.47951869529647 -2.49446984770604 -1.56683672215352
"93" 4.26684129152065 -1.55401425163154 -2.61356719151854 -1.63976935251895
"94" 4.27128427685546 -1.63033946893601 -2.73544152660159 -1.71425513588106
"95" 4.27572726219028 -1.70849434751556 -2.86009285300251 -1.79028739882619
"96" 4.28017024752509 -1.78847888767582 -2.98752117076852 -1.86785950918512
"97" 4.2846132328599 -1.87029308972248 -3.11772647994695 -1.94696484471913
"98" 4.28905621819472 -1.95393695396117 -3.25070878058501 -2.02754301024753
"99" 4.29349920352953 -2.03941048069756 -3.38646807273001 -2.10969545824031
"100" 4.29794218886435 -2.12671367023733 -3.52500435642925 -2.19336146521465
