"psi.grid" "DD.PL.q" "DD.PL.psi"
"89" 684.986918781654 -5.3615506778709 -4.48473659587007
"90" 687.763548942441 -5.58803697220438 -4.67785156766877
"91" 690.540179103229 -5.81920835284203 -4.87503710136208
"92" 693.316809264016 -6.05506481978407 -5.07629319665843
"93" 696.093439424804 -6.29560637303073 -5.2816198532662
"94" 698.870069585591 -6.54083301258226 -5.49101707089377
"95" 701.646699746379 -6.79074473843886 -5.70448484924955
"96" 704.423329907166 -7.04534155060077 -5.92202318804193
"97" 707.199960067954 -7.30462344906823 -6.14363208697932
"98" 709.976590228741 -7.56859043384146 -6.3693115457701
"99" 712.753220389529 -7.83724250492068 -6.59906156412268
"100" 715.529850550316 -8.11057966230614 -6.83288214177532
