"psi.grid" "DD.PL.q" "DD.PL.psi" "Analytical.PL"
"71" 0.400086308794618 -0.611870687156745 -0.575721493903664 -0.587030945033703
"72" 0.401163079197099 -0.67322061220022 -0.637706998672887 -0.645760423194286
"73" 0.402239849599581 -0.737499721316165 -0.702860940496041 -0.707118764843816
"74" 0.403316620002063 -0.80470801455662 -0.771183319051493 -0.77108110158559
"75" 0.404393390404544 -0.874845491939004 -0.842674134017578 -0.837616332905395
"76" 0.405470160807026 -0.947912153480764 -0.917333385072676 -0.906702637652941
"77" 0.406546931209507 -1.02390799919933 -0.995161071895134 -0.978310243997083
"78" 0.407623701611989 -1.10283302911211 -1.07615719416332 -1.05242239187305
"79" 0.408700472014471 -1.18468724323656 -1.16032175155559 -1.12898742629833
"80" 0.409777242416952 -1.2694706415901 -1.24765474375029 -1.20800975651714
